setor_or_tabela,grupo,subcategoria,designacao,taxa
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Equipamento de ofi cinas:,De Carpintaria,"12,5%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Equipamento de ofi cinas:,De serralharia e mecânica,"14,28%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Equipamento de ofi cinas:,Outras Ferramentas e utensílios,"16,66%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Equipamento de ofi cinas:,Guindastes,"12,50%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas","Máquinas de escrever, de calcular, de",contabilidade e de fotocopiar,20%
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Ligeiras,20%
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Pesadas,"12,5%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Máquinas de lavagem automática de veículos,20%
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Máquinas não especifi cadas,"12,5%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Material de incêndio (extintores e outros),20%
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Motores,"12,5%"
Activo FIXO TANGÍVEL,"Grupo 3 - máquinas, aparelhos e ferramentas",Máquinas - ferramentas:,Televisores,25%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,,Aeronaves,20%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Barcos:,-Borracha,10%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Barcos:,-Ferro,"8,33%"
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Barcos:,-Madeira,10%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Barcos:,"Bicicletas, triciclos e motociclos",25%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,"Tractores e atrelados, empilhadores e carros",com caixa basculante,"16,66%"
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Veículos automóveis:,-Funerários,"12,5%"
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Veículos automóveis:,-Ligeiros e mistos,"14,28%"
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Veículos automóveis:,-Pesados de passageiros,20%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Veículos automóveis:,"-Pesados e reboques, de mercadorias",20%
Activo FIXO TANGÍVEL,Grupo 4 - material de transporte,Veículos automóveis:,Tanques,16.66%
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,-Alcatifas,20%
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,-Outros,"12,5%"
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,"Filmes, Discos e Cassetes",25%
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,Material de desenho e topografi a,"12,5%"
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,Mobiliário (a),"12,5%"
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,"Moldes, matrizes, formas e cunhos",25%
Activo corpóreo,Grupo 5 - elementos diversos,Artigos de Conforto e Decoração (a):,Programas de Computadores,"33,33%"
Activo corpóreo,Grupo 5 - elementos diversos,Taras e Vasilhames:,- De madeira,"14,28%"
Activo corpóreo,Grupo 5 - elementos diversos,Taras e Vasilhames:,- De metal,"8,33%"
Activo corpóreo,Grupo 5 - elementos diversos,Taras e Vasilhames:,- De outros materiais,"12,5%"
Activo INTANGÍVEL,,,Despesas de Instalação e Expansão,33.33%
Activo INTANGÍVEL,,,Despesas de Investigação e Desenvolvimento,33.33%
